ателье	3.29
блочный	2.15
боевик	2.25
ботаник	2.52
взлом	3.26
выплеск	3.16
высоколобый	2.19
вышка	2.99
гильдия	3.17
глянец	2.12
голубой	3.25
двушка	1.38
дивизион	3.58
донорство	2.72
драйвер	1.29
завязка	1.86
загрузка	2.09
знамя	3.11
игра	2.28
инкубатор	2.19
исполнитель	2.6
карта	1.85
классный	1.43
корпус	1.77
лилипут	3.2
ломберный	3.72
модель	2.49
мыло	3.21
однодневка	2.56
орбита	2.53
пакет	1.65
перестройка	2.14
погрешность	3.0
подстава	1.0
приношение	2.91
прислуга	3.61
приставка	2.13
провальный	1.96
продукция	3.5
раскрутка	2.13
рождество	3.15
рынок	1.82
рыночный	2.36
свинцовый	1.99
собака	3.55
стаканчик	3.33
стачка	2.84
стиль	2.74
удвоение	2.98
флакон	3.48
четырехлетка	1.07
