word	COMPARE	EARLIER	LATER	delta_later
ателье	3.29	3.3	3.19	-0.11
бескомпромиссность	3.84	3.76	3.84	0.08
беспредел	3.55	3.1	3.25	0.15
благотворительность	3.58	3.46	3.69	0.23
блочный	2.15	2.57	2.63	0.06
боевик	2.25	3.28	2.82	-0.46
ботаник	2.52	3.2	2.16	-1.04
брезентовый	3.75	3.8	3.76	-0.04
валюта	3.42	3.57	3.47	-0.1
валютный	3.43	3.15	3.45	0.3
вампир	2.93	2.95	3.22	0.27
взлом	3.26	3.4	3.03	-0.37
вирус	3.83	3.65	3.7	0.05
выплеск	3.16	2.76	3.68	0.92
высоколобый	2.19	2.14	2.62	0.48
вышка	2.99	2.48	2.5	0.02
гермафродит	3.05	3.45	3.0	-0.45
гильдия	3.17	3.36	3.27	-0.09
гимназия	3.79	3.71	3.77	0.06
глянец	2.12	2.86	2.21	-0.65
гололед	3.84	3.8	3.87	0.07
голубой	3.25	3.11	3.08	-0.03
двушка	1.38	2.65	2.56	-0.09
дивизион	3.58	3.79	3.01	-0.78
донорство	2.72	3.62	3.34	-0.28
драйвер	1.29	3.0	2.8	-0.2
завязка	1.86	2.07	1.77	-0.3
загрузка	2.09	2.54	2.19	-0.35
знамя	3.11	2.97	2.66	-0.31
игра	2.28	2.39	2.11	-0.28
инкубатор	2.19	3.54	2.49	-1.05
исполнитель	2.6	2.74	2.54	-0.2
карта	1.85	2.28	1.58	-0.7
классный	1.43	2.44	2.17	-0.27
корпус	1.77	2.26	1.95	-0.31
лилипут	3.2	2.98	3.13	0.15
ломберный	3.72	3.94	3.55	-0.39
мгновение	3.56	3.59	3.51	-0.08
модель	2.49	2.21	1.97	-0.24
мыло	3.21	3.43	3.07	-0.36
одежда	3.69	3.84	3.77	-0.07
однодневка	2.56	2.76	3.22	0.46
орбита	2.53	2.26	3.07	0.81
осуществимый	3.8	3.73	3.65	-0.08
пакет	1.65	2.78	2.23	-0.55
партиец	3.83	3.85	3.81	-0.04
перестройка	2.14	2.43	3.1	0.67
погрешность	3.0	2.84	3.44	0.6
подстава	1.0	3.3	2.8	-0.5
предощущение	3.89	3.71	3.69	-0.02
приношение	2.91	3.22	2.84	-0.38
прислуга	3.61	3.44	3.67	0.23
приставка	2.13	1.97	2.45	0.48
провальный	1.96	1.87	3.65	1.78
продукция	3.5	3.43	3.36	-0.07
раскрутка	2.13	2.83	3.3	0.47
рождество	3.15	3.6	2.69	-0.91
рынок	1.82	2.59	3.1	0.51
рыночный	2.36	2.33	3.37	1.04
свинцовый	1.99	2.17	1.93	-0.24
собака	3.55	3.45	3.64	0.19
сомнение	3.63	3.75	3.71	-0.04
стаканчик	3.33	3.41	3.61	0.2
стачка	2.84	3.45	2.97	-0.48
стиль	2.74	2.83	2.43	-0.4
удвоение	2.98	2.87	3.7	0.83
флакон	3.48	3.72	3.11	-0.61
четырехлетка	1.07	3.07	2.8	-0.27
эрмитажный	2.92	2.91	2.89	-0.02
