агентство	3.15
богадельня	3.65
больница	3.86
весна	3.58
вино	3.37
вывеска	3.4
декрет	3.31
дождь	3.78
дума	2.25
заключенный	1.71
защитник	2.66
знатный	2.82
казенный	2.89
классный	2.41
клиника	3.22
комиссар	2.99
мазь	2.87
мама	3.69
машина	2.12
молодец	2.22
насаждение	2.48
отдел	2.55
отделение	2.09
отрывок	3.44
пакет	2.79
палата	1.46
передовой	2.56
пионер	1.86
правитель	3.38
привет	3.24
присутствие	3.16
пружина	2.18
свалка	1.9
сволочь	3.26
секция	2.76
собор	2.95
стиль	2.41
тетка	3.37
трибунал	2.98
тройка	2.5
трубка	2.04
уклон	2.49
управа	3.18
управление	1.66
участок	1.9
червяк	1.92
элемент	1.91
юношество	3.51
