lemma	judgments_per_edge	edgeshares	excluded_nodes	nodes	judgments_total
ателье	5.0	5=1.00	0	120	300
бескомпромиссность	5.0	5=1.00	0	60	150
беспредел	5.0	5=1.00	0	24	60
благотворительность	5.0	5=1.00	0	120	300
блочный	5.0	5=1.00	0	120	300
боевик	5.0	5=1.00	0	120	300
ботаник	5.0	5=1.00	0	120	300
брезентовый	5.0	5=1.00	0	120	300
валюта	5.0	5=1.00	0	120	300
валютный	5.0	5=1.00	0	120	300
вампир	5.0	5=1.00	0	120	300
взлом	5.0	5=1.00	0	120	300
вирус	5.0	5=1.00	0	120	300
выплеск	5.0	5=1.00	0	30	75
высоколобый	5.0	5=1.00	0	96	240
вышка	5.0	5=1.00	0	120	300
гермафродит	5.0	5=1.00	0	24	60
гильдия	5.0	5=1.00	0	120	300
гимназия	5.0	5=1.00	0	120	300
глянец	5.0	5=1.00	0	120	300
гололед	5.0	5=1.00	0	120	300
голубой	5.0	5=1.00	0	120	300
двушка	5.0	5=1.00	2	120	300
дивизион	5.0	5=1.00	0	120	300
донорство	5.0	5=1.00	0	60	150
драйвер	5.0	5=1.00	0	42	105
завязка	5.0	5=1.00	0	120	300
загрузка	5.0	5=1.00	0	120	300
знамя	5.0	5=1.00	0	120	300
игра	5.0	5=1.00	0	120	300
инкубатор	5.0	5=1.00	0	120	300
исполнитель	5.0	5=1.00	0	120	300
карта	5.0	5=1.00	0	120	300
классный	5.0	5=1.00	0	120	300
корпус	5.0	5=1.00	0	120	300
лилипут	5.0	5=1.00	0	120	300
ломберный	5.0	5=1.00	0	96	240
мгновение	5.0	5=1.00	0	120	300
модель	5.0	5=1.00	0	120	300
мыло	5.0	5=1.00	0	120	300
одежда	5.0	5=1.00	0	120	300
однодневка	5.0	5=1.00	0	60	150
орбита	5.0	5=1.00	0	120	300
осуществимый	5.0	5=1.00	0	120	300
пакет	5.0	5=1.00	0	120	300
партиец	5.0	5=1.00	0	120	300
перестройка	5.0	5=1.00	0	120	300
погрешность	5.0	5=1.00	0	120	300
подстава	5.0	5=1.00	0	18	45
предощущение	5.0	5=1.00	0	42	105
приношение	5.0	5=1.00	0	120	300
прислуга	5.0	5=1.00	0	120	300
приставка	5.0	5=1.00	0	120	300
провальный	5.0	5=1.00	0	66	165
продукция	5.0	5=1.00	0	120	300
раскрутка	5.0	5=1.00	0	36	90
рождество	5.0	5=1.00	0	120	300
рынок	5.0	5=1.00	0	120	300
рыночный	5.0	5=1.00	0	120	300
свинцовый	5.0	5=1.00	0	120	300
собака	5.0	5=1.00	0	120	300
сомнение	5.0	5=1.00	0	120	300
стаканчик	5.0	5=1.00	0	120	300
стачка	5.0	5=1.00	0	120	300
стиль	5.0	5=1.00	0	120	300
удвоение	5.0	5=1.00	0	120	300
флакон	5.0	5=1.00	0	120	300
четырехлетка	5.0	5=1.00	0	18	45
эрмитажный	5.0	5=1.00	0	114	285
